date,年月日,時刻,流域平均雨量mm/h,貯水量×10m3,流入量m3/s,放流量m3/s,貯水率%,流入量m3/s補正,放流量m3/s補正,時間雨量_盛岡,時間雨量_沼宮内,時間雨量_岩洞,時間雨量_北山形,時間雨量_芋田橋,時間雨量_寺田,時間雨量_松尾,時間雨量_野駄,時間雨量_松川,時間雨量_三ツ森,時間雨量_四十四田,時間雨量_御所,時刻水位_館坂橋,時刻水位_明治橋,時刻水位_山岸,時刻水位_御所,時刻水位_四十四田
2013-09-13 21:00:00,2013/9/13,21:00,-,602.0,41.31,37.58,44.6,41.31,37.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.71,0.22,172.77,158.47
2013-09-13 22:00:00,2013/9/13,22:00,-,602.0,37.59,37.58,44.6,37.59,37.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.71,0.22,172.77,158.47
2013-09-13 23:00:00,2013/9/13,23:00,-,616.0,41.32,37.65,45.6,41.32,37.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.71,0.22,172.77,158.48
2013-09-14 00:00:00,2013/9/13,24:00:00,-,616.0,37.61,37.65,45.6,37.61,37.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.71,0.21,172.78,158.48
2013-09-14 01:00:00,2013/9/14,1:00,-,629.0,41.33,37.66,46.6,41.33,37.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.72,0.21,172.78,158.49
2013-09-14 02:00:00,2013/9/14,2:00,-,670.0,40.19,33.04,49.6,40.19,33.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-1.72,0.21,172.78,158.52
2013-09-14 03:00:00,2013/9/14,3:00,-,670.0,33.04,33.06,49.6,33.04,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,-1.75,0.21,172.78,158.52
2013-09-14 04:00:00,2013/9/14,4:00,-,670.0,33.06,33.06,49.6,33.06,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-1.74,0.21,172.78,158.52
2013-09-14 05:00:00,2013/9/14,5:00,-,670.0,33.05,33.06,49.6,33.05,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-1.73,0.21,172.78,158.52
2013-09-14 06:00:00,2013/9/14,6:00,-,683.0,36.82,33.06,50.6,36.82,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-1.73,0.2,172.78,158.53
2013-09-14 07:00:00,2013/9/14,7:00,-,670.0,31.54,40.81,49.6,31.54,40.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-1.73,0.18,172.78,158.52
2013-09-14 08:00:00,2013/9/14,8:00,-,656.0,36.33,38.85,48.6,36.33,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.73,0.18,172.78,158.51
2013-09-14 09:00:00,2013/9/14,9:00,-,656.0,38.85,38.86,48.6,38.85,38.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.71,0.18,172.78,158.51
2013-09-14 10:00:00,2013/9/14,10:00,-,656.0,38.85,38.85,48.6,38.85,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.78,158.51
2013-09-14 11:00:00,2013/9/14,11:00,-,656.0,38.85,38.86,48.6,38.85,38.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.78,158.51
2013-09-14 12:00:00,2013/9/14,12:00,-,656.0,38.85,38.85,48.6,38.85,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.78,158.51
2013-09-14 13:00:00,2013/9/14,13:00,-,643.0,35.09,38.94,47.6,35.09,38.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.78,158.5
2013-09-14 14:00:00,2013/9/14,14:00,-,643.0,38.85,38.79,47.6,38.85,38.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.78,158.5
2013-09-14 15:00:00,2013/9/14,15:00,-,643.0,38.82,38.7,47.6,38.82,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.79,158.5
2013-09-14 16:00:00,2013/9/14,16:00,-,643.0,38.81,38.85,47.6,38.81,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.18,172.79,158.5
2013-09-14 17:00:00,2013/9/14,17:00,-,643.0,38.82,38.86,47.6,38.82,38.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.17,172.79,158.5
2013-09-14 18:00:00,2013/9/14,18:00,-,629.0,35.03,38.79,46.6,35.03,38.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.71,0.18,172.79,158.49
2013-09-14 19:00:00,2013/9/14,19:00,-,629.0,38.76,38.7,46.6,38.76,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.71,0.18,172.8,158.49
2013-09-14 20:00:00,2013/9/14,20:00,-,629.0,38.73,38.7,46.6,38.73,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.17,172.8,158.49
2013-09-14 21:00:00,2013/9/14,21:00,-,616.0,35.01,38.85,45.6,35.01,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.17,172.8,158.48
2013-09-14 22:00:00,2013/9/14,22:00,-,616.0,37.7,37.58,45.6,37.7,37.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-1.72,0.17,172.8,158.48
2013-09-14 23:00:00,2013/9/14,23:00,-,616.0,37.6,37.65,45.6,37.6,37.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.72,0.16,172.8,158.48
2013-09-15 00:00:00,2013/9/14,24:00:00,-,616.0,37.62,38.71,45.6,37.62,38.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.72,0.16,172.8,158.48
2013-09-15 01:00:00,2013/9/15,1:00,-,602.0,33.89,37.59,44.6,33.89,37.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.73,0.16,172.8,158.47
2013-09-15 02:00:00,2013/9/15,2:00,-,602.0,32.45,32.38,44.6,32.45,32.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-1.73,0.16,172.8,158.47
2013-09-15 03:00:00,2013/9/15,3:00,-,602.0,32.36,32.39,44.6,32.36,32.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-1.75,0.16,172.8,158.47
2013-09-15 04:00:00,2013/9/15,4:00,-,602.0,32.37,32.39,44.6,32.37,32.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-1.75,0.15,172.81,158.47
2013-09-15 05:00:00,2013/9/15,5:00,-,602.0,32.37,32.31,44.6,32.37,32.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-1.75,0.15,172.81,158.47
2013-09-15 06:00:00,2013/9/15,6:00,-,602.0,32.37,32.47,44.6,32.37,32.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-1.75,0.15,172.81,158.47
2013-09-15 07:00:00,2013/9/15,7:00,-,602.0,32.76,35.9,44.6,32.76,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-1.75,0.15,172.81,158.47
2013-09-15 08:00:00,2013/9/15,8:00,-,589.0,33.62,37.75,43.6,33.62,37.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,-1.75,0.14,172.8,158.46
2013-09-15 09:00:00,2013/9/15,9:00,-,589.0,37.73,37.74,43.6,37.73,37.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.74,0.14,172.8,158.46
2013-09-15 10:00:00,2013/9/15,10:00,-,589.0,37.73,37.73,43.6,37.73,37.73,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.33,-1.72,0.14,172.8,158.46
2013-09-15 11:00:00,2013/9/15,11:00,-,576.0,33.94,36.53,42.6,33.94,36.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-1.72,0.14,172.79,158.45
2013-09-15 12:00:00,2013/9/15,12:00,-,576.0,36.46,36.46,42.6,36.46,36.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.32,-1.72,0.14,172.78,158.45
